Users,Comments,Labels
Alaf Tabedar,How to survive in Pakistan??,Neutral
Alexey Moiseyev,"Greetings from the international expansion team:
https://t.co/vm31gRNwTj

We are here to make the #PdM globally adoÖ https://t.co/kUNGUFXIJ9",Neutral
Ali,"@OfficialDPRPP I know following things
Khaniwal killing
Rao anwar
Islamabad incidence 
Model town
Catching love birÖ https://t.co/baPjk9BKWl",Neutral
Ali Azhar,Basss Karen camera kaaa Kmaal h naani Marium,Neutral
Ali Farhan,"Bilawal Bhutto apparently invited for President-Elect Joe Biden inaugural ceremony is no surprise.
Remember it wasÖ https://t.co/uBxbRj5nid",Neutral
Ali Raza,He often talks of selectors!,Neutral
Ali SaDam,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChairÖ",Neutral
Ali SaDam,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChaÖ",Neutral
Ali Shaikh,Be a man and resign from NA. Easiest way to send the government home!. Why don't you do it?,Neutral
Amber Jehangir,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Amir Shams,Awesome,Neutral
Andrea LSchedler,"RT @SOLIDWORKS: Read about UECO, a company that has transformed from a small shop with 3 employees to 300 employees and still growing despiÖ",Neutral
Andrea Rose,"He will lead a #PDM rally from #Quetta to Loralai,where the alliance against govt would hold a public meeting on WeÖ https://t.co/SkRjxxcVGv",Neutral
Andrea Rose,"ìPeopleís response to the #PDM public meetings is unprecedented,î the Maulana said while speaking to reporters soonÖ https://t.co/jGOqsVaznC",Neutral
Andrea Rose,Pakistan Demo≠cratic Movement (#PDM) president Maulana Fazlur Rehman has said the people across the country and theÖ https://t.co/jnrJ5AYyOg,Neutral
Anees Jillani,@MaryamNSharif @SenatorEB17 If #PTIGovernment carries out the Rs 11 increase in petrol price tomorrow and the #PDMÖ https://t.co/IFMOdiJTb9,Neutral
Anns Imran,Hakomat ke saat ase he hona he,Neutral
Ansab Ali,Bilawal anty,Neutral
Anzal,@ShahramAzhar What is far more interesting that ppp and pmln refused to submit their funding details to the same stÖ https://t.co/1n5VeareVZ,Neutral
Aqil Khan,Agar koi apni ghalati accept karta hai to. Iska matlab hai wo Azeem aur sacha Admi hai aur uski madad Allah Tallah farmate hain.,Neutral
Aqsa Mehmood,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
arbab jahangir,Discussion on #PDM future strategy #senateelection #ByElection2021 #Broadsheet &amp; #track2dialogue withÖ https://t.co/jHi6da1qgq,Neutral
arbab jahangir,#PDM #gilgitelectionwhitepaper #senateelection #ByElection2021 #govtpriorities #PCB with @betterpakistan at 11pmÖ https://t.co/2BWxUZmkBs,Neutral
AS°M SaRwaR,"RT @The_SaniKhan: PM #AJK @farooq_pm You Have A Message From @HamidMirPAK Have A Look

You Not Listening Own People, Atleast Listen Him !Ö",Neutral
Asghar Hussain,Being diplomatic in order to get his name selected. Good strategy,Neutral
ASHHAD WRITE??,"Students right now to PDM
#PDM https://t.co/Om1IJlIP1y",Neutral
Avadhoot Mukund Joshi,Bahi to lawo Jo ab kehty hain ham Pakistani nahe Sara Pakistan loot kar London m Aram kar rahy hain,Neutral
Axel Spitzer,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still gÖ https://t.co/KlvWgULlmu",Neutral
Ayesha Khan,"RT @ShaistaFaisal_: #?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",Neutral
Azfar Khaan,CIVILIAN SUPERMACY THE ONLY SOLUTION.,Neutral
Baseer Ullah,Divide these people in to 11 equal parts,Neutral
Bhangra Bot,"RT @pdmliveband: ?? Ticket To Panjab
ìAlways remember your roots. Never forget, they are the foundation of your life and the wings of yourÖ",Neutral
Bhat Irfan,Afsos in k apnae bache kiyo nhi yaha,Neutral
BhulekhaTv (Punjabi News Channel),"Shamah basit
Click on the link to read on website
https://t.co/3JSD3l7WZJ
.
#Bhulekhatv #DailybhulekhaÖ https://t.co/vCFZOvyCzZ",Neutral
Bilal Hussain Mirani,"RT @ys0s3ri0us: #PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",Neutral
Built In,"Product teams often know that a project needs to change direction, but they donít have a way to do it safely and quÖ https://t.co/OYuTBgtn1N",Neutral
Built In Los Angeles,"Product teams often know that a project needs to change direction, but they donít have a way to do it safely and quÖ https://t.co/El9GcPJaPk",Neutral
Built In NYC,"Product teams often know that a project needs to change direction, but they donít have a way to do it safely and quÖ https://t.co/uqIVKoZlQd",Neutral
burger wala????????,"RT @ys0s3ri0us: #PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",Neutral
Capital TV,"RT @MansoorAzamQazi: Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI @SassuiPalijÖ",Neutral
Carlos Filipe Paula Lima,Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows wÖ https://t.co/G6xoCWNZHc,Neutral
Choudhary Shujat Ali,Fazalur rehman what is going on,Neutral
Daily Qudrat,"#PDM Long March|shaikh rasheed , pervaiz khattak , Shbili Faraz Federal Ministers Press Conference https://t.co/trE3yrCA7N",Neutral
Deepak Joshi,Are fresh elections around the corner?,Neutral
Deepak Joshi,Are fresh elections around the corner?,Neutral
DesignDataManager,"Knowing where your data is, how it is being used and who by is vital in any business. #DDM gives you the confidenceÖ https://t.co/72iKkZhbYC",Neutral
Didar Ali,"Bibi, these many people come to see you or they really want to restore democracy?.... I really have this doubt.",Neutral
Dilshad mirani layyah de shan,"RT @ShaistaFaisal_: #?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",Neutral
DJ Butt Official,"RT @_Mansoor_Ali: [EXCLUSIVE] Why Imran Khan is Angry with DJ Butt? | Shocking details of FIR | Mansoor Ali Khan

https://t.co/QN5YnCv60hÖ",Neutral
Dr Irfan Ashraf,"Ready for Recording #BAYLAAG 
Don't forget to Tune @CTV_Digital tonight 10:05PM 
#PDM 
#PDMLoralaiJalsa https://t.co/Shut75JmL7",Neutral
DR KHAN,"@titojourno @AnsarAAbbasi Ansar Abassi is doing analysis after interviews of @ShaziaAttaMarri &amp; #RanaSanaUllah, ButÖ https://t.co/OkYNyJMJZk",Neutral
Ejaz Ahmad,2 Neutralize Army d Opposition shd divide exclusive turfs for self reign via ballot; . No better way to give goosebumps 2 and end their machinations!,Neutral
Emn Latiff,Army zindabad??...imran khan zindabad?? ...pakistan pahindabad love pakistan...??,Neutral
Engr Muhammad Asim Khan,I am lookiing forward for #schoolsreopening in the country but I am pretty sure that we are going again toÖ https://t.co/sGyKoha7HW,Neutral
Engr Muhammad Farooq Chandia,"I dont know why these politicians always use words like war,jihad in kpk",Neutral
Eric A. Beatty,"RT @timoteomuller: Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still growinÖ",Neutral
Farooq Apriday,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood AsÖ,Neutral
Ghazala Farooq,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
GhazalaBaji,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Gm RaJpAr { PSF } ????????,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChairÖ",Neutral
Haider Iftikhar,Answer please London appartments,Neutral
Halar Jamali (PSF),"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChaÖ",Neutral
Hamid M. Sandhu,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Hammad Mustafa????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Harris Nadeem,"According to him, ""Democracy is the best revenge"".",Neutral
Hashim Khushk,Billo rani aise nai kehte ku k phr sindh government bhi nai rahe gi,Neutral
Hassaan Ra,"Before jumping to conclusions, let Bilawal get impression of what media reports and respond accordingly. I can understand that most of the people are only trained in vomiting ideas and conclusions, rather than showing ability to first make in depth invÖ",Neutral
Hassan,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Hassan Jawad,And they already named him after joe biden,Neutral
HasSan MugHal ??????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Hassan Mustafavi ????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Hinna,People who destroy whole nation do not have the right to teach us democracy &amp; the values of living freely.Ö https://t.co/pa3kkMmEyH,Neutral
IDEAL GRP,Forest machine manufacturer Logset Oy solved their product data management issue with the Teamcenter product packagÖ https://t.co/ZUUVy5yQ0r,Neutral
Imran Javed,Ap nay video kat do hai ap nay acha nai Kiya,Neutral
Imran Javed,In this picture lion is truly representing N league present situation,Neutral
Imran Miah,Baji g Sara minare Pakistan to piche se khalli para hw hain,Neutral
Imran SK,ALLAH ki trf sa is aort pr lazim hy k hr wqt imran khan ka zikr kry,Neutral
Inam Azal Afd...,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",Neutral
Inside Pakistan With Muhammad Zafeer,"Watch Tonight 10:05 PM On K21 News
Repeat at 11:05 AM
#PPP
#PTI
#PDM
#Government
#K21NewsÖ https://t.co/yIHJmQNCdK",Neutral
Irfan,"Now you understand why MandwiWala has been ripping his clothes off for the last few months against NAB, his corruptÖ https://t.co/Y598tftu1u",Neutral
JAMIL - Al Bathaa,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Javed Iqbal,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Jim Brown,Get an early view of @JulieFraser's data on how semiconductor and high-tech companies can improve innovation and prÖ https://t.co/ximfkBgJ71,Neutral
Johnybravo,"RT @LiaquatIVF: Pakistan is moving forward under Imran Khan's regime.
1.Textile sector running at its full capacity after 30 years
2.PakistÖ",Neutral
Kacho Sajid Ali,First of all make manifesto for PDM than do what you want...,Neutral
Kafia Shah .... (????),"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChaÖ",Neutral
Khalid,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood AsÖ,Neutral
Khateeb Ahmed,All preparations for the #PDM public jalsa in Loralai have been completed. The jalsa will be held today. Maulana FaÖ https://t.co/jJ3v5UunnB,Neutral
Khizar Hayat,Ansaf ho chew vo foog ka sardara ho ya hokamran ho.,Neutral
Khurram Shahzad,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Lalit Sharma,Niazi Sings NAB to tarnish Sharif and zardari=Even Bajwa has no options=,Neutral
lets put a smile on that face,"#PakistanShocksIndia
#pdm reaction to see this poll https://t.co/EloznYog3q",Neutral
LIN Shaodun,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still gÖ https://t.co/483NPzcyuA",Neutral
M Ashraf,"Maryam Bibi, I have heard that you aren't coming to tomorrow #PDMJalsa Believe me we are very disappointed @MaryamNSharif",Neutral
M Ashraf,"Maryam Bibi, I have heard that you aren't coming to tomorrow #PDMJalsa Believe me we are very disappointed @MaryamNSharif",Neutral
M IkRm AfriDi,Blood of Zirdari speaking.,Neutral
Magesh Veeramani,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still gÖ https://t.co/qYvNwjoOOy",Neutral
Malak Aftab Kasi,Aur tum se azadi chahti he,Neutral
Malak Suhail,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",Neutral
Maliha khan,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Malik Irfan Tangi,I can feel the days when founding fathers worked day and night to get independence from British raj.,Neutral
Malik muhammad Umar khan,"RT @_Mansoor_Ali: DG ISPR denies rumors about contact with Opposition | Offer of tea for Maulana | Mansoor Ali Khan

https://t.co/YS6njJ5qgÖ",Neutral
Malik muhammad Umar khan,"RT @_Mansoor_Ali: DG ISPR denies rumors about contact with Opposition | Offer of tea for Maulana | Mansoor Ali Khan

https://t.co/YS6njJ5qgÖ",Neutral
Mansoor Azam Qazi,"Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTIÖ https://t.co/HY6UKyOArI",Neutral
Meer S.Jatoi PSF????????,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChairÖ",Neutral
Mehar Saleem,Balochistan kab gya tha tu bilo rani...,Neutral
mEhrii,"RT @BlissfulSahir: When you reach the end of your rope, tie a knot in it and hang on.

-Franklin D. Roosevelt

#imrankhanPTI 
#PTI 
#PAKISTÖ",Neutral
Meraj Qadar,"He is right though am not his supporter, the military Must respect the civilians and their own oath.",Neutral
Mohammad Ashraf Ashraf,Bahawalpoor ma1 week sa band ha,Neutral
Mohammad Ayub,How can a woman who refuses to adopt even her own daughter adopt the people of her country?,Neutral
Momin Khan ANP,"RT @iamshamalkhan: There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",Neutral
MSM Faisalabad (Official),"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Muhammad Asim,Exactly there is no relief for the poor people. No justice for the missing persons no idea about the Education system that it must be improved no focus Health and many more issues. They only know one thing that is criticism on opposition never listen oÖ,Neutral
Muhammad Ilyas,Go,Neutral
Muhammad ishfaq,"RT @MansoorAzamQazi: Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI @SassuiPalijÖ",Neutral
Muhammad Sharif Sahito,Are u coming to bannu?,Neutral
Musa73UK,@ISpeakHenceIAm Thatís after #Quetta #NAB #foreignfundingcase #PDM,Neutral
Mushtaq Bashir Khan,At least that's not the beauty of democracy.....,Neutral
N Ali Khattak,When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits MehmoÖ https://t.co/Y4naSnEcih,Neutral
Naeem Khan,Gharebon ko diharhi bhi diya karo molana,Neutral
Naeem Shaikh,Apne garh le jana baki jo nae ay,Neutral
Nafis Nighat,"RT @NaumanHannani: #imrankhanPTI #PDM #PakistanZindabad #NawazSharif #NAB #IrfanHashmi #KavehMoussavi #PPP 

@ImranKhanPTI (cc @KavehMoussÖ",Neutral
Nature Lover,"RT @MBilalLakhani: While media keeps reading tea leaves on what PDM leaders are thinking, the real question is why did ???? people reject PDMÖ",Neutral
Nimra Butt,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Noman Ahmed Zaka,Boht dabang thi benazir,Neutral
Noman Jutt,"RT @ShaistaFaisal_: #?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",Neutral
NPP News TV,"#AmirMuqam Speech At #PDMRallyMalakand 

@pmln_org @PMLNPunjabPk @pmlnsindh_org @PmlnKhidivision @PmlnAjk_orgÖ https://t.co/Ls0fxZlp6D",Neutral
NuMaN NuMii,"#PDM wanted to resign @ImranKhanPTI also #PTIGovernment and go home....?
#PTIForeignFunding #PakistanRejectsPDM https://t.co/5HhbPsNQPv",Neutral
Oxygen,"Preparations for tomorrow meeting of PDM in Loralai.
#PDMJalsa https://t.co/h7zDTqPifk",Neutral
Oxygen,"Preparations for tomorrow meeting of PDM in Loralai.
#PDMJalsa https://t.co/h7zDTqPifk",Neutral
P R O S O C I A L,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
P R O S O C I A L,@sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5Ö https://t.co/EOUuta24rI,Neutral
Prasanna Manchegowda,Benazer.. Benazer hi thi... Koi nai ponch sakta benazer ko,Neutral
ProductCraft,"RT @BuiltInLA: Product teams often know that a project needs to change direction, but they donít have a way to do it safely and quickly. OuÖ",Neutral
PTI Rwp Official,"RT @MBilalLakhani: While media keeps reading tea leaves on what PDM leaders are thinking, the real question is why did ???? people reject PDMÖ",Neutral
Public News,"#PDM long march will never take place, says Liaquat Shahwani

https://t.co/6bJWDz4QRx

#PublicNewsLive #PublicNewsÖ https://t.co/JILqgKVVNj",Neutral
Raheem Bux mazari (PSF),"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChairÖ",Neutral
Ramla,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChaÖ",Neutral
Rana Masood Ali,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Rasheed Mughal,How to survive in Pakistan??,Neutral
Rasheed Safi,"All major access road to #Islamabad are open for #PDM including #expressway ,#srinagarhighway and #murrehighwayÖ https://t.co/CxjpefQkWC",Neutral
Rashid Nadeem,Fight foe democracy,Neutral
Rebellious Flower,Heavy,Neutral
Rehan Ahmed,Afsoos PTI ke Minar E Pakistan se bara jalsa Nahi tha,Neutral
Riaz Khan Mehsud,"Earlier, he used the same term against ""lassi""",Neutral
Saad,RT @etribune: Interior Minister #SheikhRashid on Thursday asked Pakistan Democratic Movement (#PDM) chief Maulana #FazlurRehman to focus onÖ,Neutral
Saad Jamal,Awaaz mute kyn kiii,Neutral
Sadaqat jhedu IVF,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Saeed Uz Zaman Siddeqi,"Is any road blocked in Islamabad due to PDM protest in front of Election Commission of Pakistan? 
Is local transporÖ https://t.co/MLhfn4rnI6",Neutral
Sajad Wani,All the commenters here are fools.Nobody can fathom the political acumen of Molana.,Neutral
Sania Ali,How many times did u go to meet the families of those who suffered in Model Town massacre?,Neutral
Sanjay Dhir,Going home is not a solution of problems masses facing. Opposition should pressurize Government to give some relief to public in daily usage commodities and control inflation.,Neutral
Sara Munir????????????????,RT @JKDubai1: @sandhu_hamid @786N1R @JamilBathaa @zrasool06 @SHMirza2 @FPvddt6wGdc3LX1 @Defender_747 @MirMuzaffarHus5 @Manzoor01162219 @NimÖ,Neutral
Sat Mann ??#THESMT podcast,"RT @pdmliveband: ?? Ticket To Panjab
ìAlways remember your roots. Never forget, they are the foundation of your life and the wings of yourÖ",Neutral
SAYHOON NEWS,"The Pakistan Democratic Movement (PDM), a coalition of Pakistan's opposition political parties, has announced thatÖ https://t.co/wJVtH7EmWI",Neutral
Shagufta Saif,His face revealed everything which is very prominent. Nawaz knowns the 2021 will be most toughest years of his political career.,Neutral
Shahid Bashir,"RT @janashah_1: #PDM leader Maulana Fazlur Rehman exchanges view with Abdullah Gul the son of legendry Gen Hamid Gul,
on political situatioÖ",Neutral
Shahid Hanif Shad,Hope,Neutral
Shahzad Shah Jillani,RT @mughalbha: Broadsheet seeks Rs337m more https://t.co/B5s8QoNEb9 #Broadsheet LLC has written to the lawyers of #NAB in London seeking anÖ,Neutral
Shahzad Shah Jillani,RT @mughalbha: Mystery deepens over who authorised payment of $1.5m https://t.co/MXqInqBhRh (by @UmarCheema1 ) Mystery resolved by Mr KavehÖ,Neutral
Shahzad Shah Jillani,"RT @mughalbha: A US based online magazine owned by a US citizen Mr Shaheen Sehbai, wrote ?? MT @YousufNazar Nov 2003: ìMaleeha Lodhiís FugitÖ",Neutral
Shahzad Shah Jillani,RT @mughalbha: Broadsheet seeks Rs337m more https://t.co/B5s8QoNEb9 The Broadsheet LLC has written to the lawyers of NAB in London seekingÖ,Neutral
Shahzad Shah Jillani,"RT @mughalbha: Mystery deepens over who authorised payment of $1.5m https://t.co/MXqInqBhRh ( by @UmarCheema1 ) 

#AbolishNAB #NAB #PDM #NaÖ",Neutral
Shair Ahmed,@pmln_org @betterpakistan Time has not yet come to trace it. Wait for suitable time,Neutral
Shaista_Faisal,"#?????_??????_????_????

why #pdm against transparent senate elections ?
whats the motive? 
Public knows",Neutral
Shamal Khan,"There are all parties in #PDM..
Not only #JUIF.
#PDMLoralaiJalsa",Neutral
Sharjeel Ikram,Bhan to khadim hussan k janzy ka Muqabla nahi kar sakti,Neutral
Sher Khan,He has started uttering some very good words. Remember you already have planned to take a rally for the removal of the French embassador from Pakistan. Mind it first Maulana sb.,Neutral
Sobia Saher,"Call him a thug, theif, corrupt or whatever, nothing's been proven against him except his work permit in Dubai when he was in exile because of a dictator Musharraf.",Neutral
Sunil Kumar Yadav (Sky),RT @InseadSky: Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows with integÖ,Neutral
Sunil Kumar Yadav (Sky),RT @InseadSky: Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows with integÖ,Neutral
Sunil Kumar Yadav (Sky),Hangsheng Electronics broke through development silos by connecting multi-domain data and standardizing workflows wÖ https://t.co/7DHzvk7A3Z,Neutral
Sunny Khan,First it should have declare it GENDER .,Neutral
Syed Aasim Bukhari,Hybrid Molana,Neutral
Syed Asad Kazmi,Dont say kashmir now traitor.,Neutral
Syed Asad Kazmi,Ppp pdm se out,Neutral
Syed Naseeb Ullah Khan,ALLAH ki trf sa is aort pr lazim hy k hr wqt imran khan ka zikr kry,Neutral
Syed Zaghaim Abbas Shah,Huge crowd for PMLN Queen MARIYAM NAWAZ,Neutral
SyedAllahDinoShah_ PPP Jeay Bhutto,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of ChaÖ",Neutral
Sylvia Jaffery,Beta ham serf khana awr rozgar nai chahty... Ham pakistan ko is Sahi samt Dena chahty Hain.. Roz Jo qarzy leye jaty hai.. to uska Kiya hoga...,Neutral
Tabassum Parween,Maryum bi bi dead line Pai dead line daitay jaaiya,Neutral
Tahir Khan,Government leaders go their home everyday after work dear,Neutral
Tanzeela Mazhar,"Watch News Today with Tanzeela Mazhar @gtvnetworkhd tonight at 8:05 pm 
With Faisal Karim kundi @fkkundiÖ https://t.co/xafwqghgid",Neutral
Tariq Ahmad,But court declared your father as NA EHAL,Neutral
Tayyab Wazir,bechary ab tk byaneye k chakar main hain ki konsa wala teek rahy ga,Neutral
Team ML ????,"RT @TeamMLucman: Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhan #pakistÖ",Neutral
Team ML ????,"Who is responsible for BroadSheet ??

DNA with @mubasherlucman &amp; @salimbokhari on @24NewsHD 

#Pakistan #imrankhanÖ https://t.co/vLXDHBoDYO",Neutral
The Express Tribune,Interior Minister #SheikhRashid on Thursday asked Pakistan Democratic Movement (#PDM) chief Maulana #FazlurRehman tÖ https://t.co/XRcKzIeIhL,Neutral
The Khyber Times,"Live: Important Press Conference of Secretary General PML-N Ahsan Iqbal.
https://t.co/kohSmlkUws
.
#PDMLoralaiJalsaÖ https://t.co/oLUhH4SJlJ",Neutral
The Patriot,"RT @MansoorAzamQazi: Pakistan Today with @MansoorAzamQazi |#Friday 15 #January2021 |8:05 PM #LIVE |@CTV_Digital

@AJehangirPTI @SassuiPalijÖ",Neutral
The_Nation,"Law to be enforced if opposition's protest disturb regional peace: Sheikh Rashid
https://t.co/a2tNoqHZ3JÖ https://t.co/t3CMqFoQAn",Neutral
Timoteo M¸ller,"Read about UECO, a company that has transformed from a small shop with three employees to 300 employees and still gÖ https://t.co/O75ZfdKWgk",Neutral
Topgunmaverick,@ImranKhanPTI sacrifices and efforts for this nation is not only helping treat cancer of ppl but also treating cancÖ https://t.co/qG9Ncqt0sT,Neutral
⁄©Ÿà€Å €ÅŸÜÿØŸà ⁄©ÿ¥,"Aik he suff me karray ho gaye Modi yahoodi Nawaz, Na koi Bandar raha aur Na koi Qatri Nawaz,",Neutral
Umair Rashdi,Bol news r ary news: sirf 6 hazar log hai,Neutral
Umar Khan Lohani,RT @AVeteran1956: Untouchable political elite. Why is State so apologetic on arrest of Capt Safdar in case of hooliganism at Mazar e QuaidÖ,Neutral
Usman Azhar,Hamara naseeb!,Neutral
Usman Javeid,Going home is not a solution of problems masses facing. Opposition should pressurize Government to give some relief to public in daily usage commodities and control inflation.,Neutral
Vishal Sehgal,A big turn out of supporters was witnessed at the #PDM rally in #Loralai against the incumbent #ImranKhan governmenÖ https://t.co/5Eo2hidK8p,Neutral
Wajahat Wasim,"Another relief for the common people? That's what he calls it, right?",Neutral
wajid ali,RT @arshadsyed001: Reason ?? why Iqrar like ppp ideology &amp; pmln governance ?? https://t.co/hfuVJ0TlWY,Neutral
Yaser Awan,Awaaz kyn mute kr raha hai,Neutral
Zaheeruddin Ahmed,Adib bhai dil pay na lo,Neutral
Zahid Ali,"Bilawal should focus on Sindh rather then criticising federal government the people of Sindh need food, clean drinking water, sewage system, quality education etc.",Neutral
Zahid Danish Waziri,"RT @arbab_jahangir: #PDM #gilgitelectionwhitepaper #senateelection #ByElection2021 #govtpriorities #PCB with @betterpakistan at 11pm
@AamiÖ",Neutral
Zahid Iqbal,Be a man and resign from NA. Easiest way to send the government home!. Why don't you do it?,Neutral
ZaHoOr A. NaIcH,Aslamoalikum. Maryam. Dears. Aap baba. Sy. Passy ly kr. Pakistan. Ko dy dn,Neutral
Zain Khan,BACHAY DARRR GAYE,Neutral
Zainab Farooqi,"Imran khan continues to disappoint. There is no news of any COVID vaccine arriving any sooner, and the economic groÖ https://t.co/iUSL44g2SA",Neutral
