users,comments,labels,,
Mayawati Patel,#PDM #Loralai jalsa is supporting Hanif Pashteen the killer of Pashtun policemen in Peshawar. And qazi tahir who is… https://t.co/rMltHoUXKE,disagree,,
M Hayat Ullah,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Muhammad Ahsan,RT @DrZAQ11: #PDM was Looking Cool Till ....... https://t.co/6rEEXGw3V6,sarcastic,,
Naveed Riaz,RT @DrZAQ11: #PDM was Looking Cool Till ....... https://t.co/6rEEXGw3V6,sarcastic,,
????? ???? ??????,"RT @Nizamuddin5033: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/pCDPh4i2bj",agree,,
Professor Dr. ZAQ,#PDM was Looking Cool Till ....... https://t.co/6rEEXGw3V6,sarcastic,,
????? ???? ??????,"RT @AbdulWa71206538: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai 
wm",agree,,
????? ???? ??????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Abdul Wahab Memon,"#PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai 
wm",agree,,
Abdul Rehman Mallah,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Abdul Wahab Memon,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
???? ????? ?????,"#PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/pCDPh4i2bj",agree,,
Muddasir Buneray,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
SyedAllahDinoShah_ PPP Jeay Bhutto,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",neutral,,
Aqif Soomro,If it wouldn't be in favour of @ImranKhanPTI it might happened for opposition #PDM Twitter team would be celebratin… https://t.co/gXsLBg6Vdu,sarcastic,,
DesignDataManager,"Knowing where your data is, how it is being used and who by is vital in any business. #DDM gives you the confidence… https://t.co/72iKkZhbYC",neutral,,
??? ???? ????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
MNS MFR PMLN @ PDM,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Rehmat ullah,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
hamadullahdauod,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
arif lodhi,Deceiving his base minions by showing them his affinity for the #Taliban ; Molana #FazlurRehman is found involved e… https://t.co/x2skpyxdy3,disagree,,
Farooq Apriday,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood As…,neutral,,
??????????? ?????? ??????????????????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Hakim Khan,"Mahmood khan achakzai is once again using pashtoon as a political tools 4 the Punjabi politicians,raising the voice… https://t.co/2yf6fiEAyH",disagree,,
Syed Rehmat,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
??????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
???? ????? ???? ???? ?????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Sadaqat Khan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Susi,"RT @BlissfulSahir: When you reach the end of your rope, tie a knot in it and hang on.

-Franklin D. Roosevelt

#imrankhanPTI 
#PTI 
#PAKIST…",disagree,,
Ramla,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",neutral,,
Asmaikram ??,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Bilal Jan Tangi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Amin Shah Farooqi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
JUI SMT Sujawal,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Ahmed Khan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Hassan Naeem,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Slahuddin Soomro,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Fazal ur rehman Nasir,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Mahmood Soomro,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Hafiz Bilal,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Muhammad Siddiq Kabalgrami?,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
JUI SMT Thatta,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
M Shahid Afridi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Niaz Mehmood Khan JTI Guddu City,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Muhammad ADIL,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Hassan Naeem,RT @syedShoaib_11: My Hometown welcomes the Leadership of #PDM with open arms and warm heart.All the preparations have been made by the hos…,agree,,
Hassan Naeem,"RT @HMAbdullahBwp: Murshid &amp; Qaid 
??????

#PDM | #PDMLoralaiJalsa
#Hafiz_Muhammad_Abdullah_Bwp https://t.co/KieuE0LHGX",agree,,
Aremarx,"@ETLifeandStyle @etribune @ImranKhanPTI is asking NRO from #atifaslam 

Atif Aslm decided to join PDM.

#PDMlogic #PDM",sarcastic,,
Hussain Ahmad????????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Qasim Quraishi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
saeed soomro jui sujawal,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
??????? ???? ??????????,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Ihsan Marwat,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Asma khan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Muhammad Rehan,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Sania Afridi,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
m ilyas ??swati??,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Atiq Allah,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Jawad Mustafa Soomro,"RT @IhsanMarwat_786: #PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Ihsan Marwat,"#PDM Loralai power shows Beautiful sceens

#MaulanaLeadsPDM_Loralai https://t.co/FUvOPVp4Et",agree,,
Ishfaq Wazir,"RT @HMAbdullahBwp: Murshid &amp; Qaid 
??????

#PDM | #PDMLoralaiJalsa
#Hafiz_Muhammad_Abdullah_Bwp https://t.co/KieuE0LHGX",agree,,
Ishfaq Wazir,RT @syedShoaib_11: My Hometown welcomes the Leadership of #PDM with open arms and warm heart.All the preparations have been made by the hos…,agree,,
Abdur Rehman Sharf,Dozens of ppl killed by Islamabad Police durin #PLMN + #PPPP = #PDM's regimes put together. Has anybody seen any Hi… https://t.co/6E3eplrI7s,disagree,,
DJ Butt Official,"RT @_Mansoor_Ali: [EXCLUSIVE] Why Imran Khan is angry with DJ Butt? | Shocking details of FIR | Mansoor Ali Khan

https://t.co/QN5YnCv60h…",neutral,,
Asghar Samejo,"RT @HullioSikandar: If #PDM comes to #Rawalpindi, we'll offer them tea. - DG ISPR 

You eat Papa Jones Pizza yourself and make us drink onl…",sarcastic,,
Hafiz Muhammad Abdullah,"Murshid &amp; Qaid 
??????

#PDM | #PDMLoralaiJalsa
#Hafiz_Muhammad_Abdullah_Bwp https://t.co/KieuE0LHGX",agree,,
SAYHOON NEWS,"The Pakistan Democratic Movement (PDM), a coalition of Pakistan's opposition political parties, has announced that… https://t.co/wJVtH7EmWI",neutral,,
Senseye,"We are taking your #PdM journey to the finish line ??.

?Announcing the NEW Senseye PdM Complete - a powerful combin… https://t.co/JlbAj2DsYI",agree,,
Khalid,RT @NawabAliKhan7: When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmood As…,neutral,,
Roshaan,@TeamAleemKhan An Evidence of #PDM failure.....,disagree,,
muskan,"RT @Azizkh_N: #pdm rally towards RWP and there will be 

??????????????????????????
#????_????
#????_???",,,
PDM,"“We are in this together and we will get through this together” 
~Antonio Guterres 
Secretary General of… https://t.co/6EwGQq7Wvb",agree,,
N Ali Khattak,When will NAB open its eyes and start investigating the BRT scam? This is Khyber bazar section. Photo credits Mehmo… https://t.co/Y4naSnEcih,neutral,,
Sikandar Ali Hullio,"If #PDM comes to #Rawalpindi, we'll offer them tea. - DG ISPR 

You eat Papa Jones Pizza yourself and make us drink… https://t.co/AZzoQFhvph",sarcastic,,
The_Nation,"Opposition stands pointless in staging protest: CM Buzdar
https://t.co/pPPmo5MfcV
@UsmanAKBuzdar @GovtofPunjabPK… https://t.co/FZkgHO0wXq",disagree,,
Andrea Rose,Maulana said the govt had no moral justification to remain in power &amp; it would have to resign as #PDM &amp; people acro… https://t.co/vNJTuIzM2j,agree,,
Andrea Rose,"He will lead a #PDM rally from #Quetta to Loralai,where the alliance against govt would hold a public meeting on We… https://t.co/SkRjxxcVGv",neutral,,
Andrea Rose,"“People’s response to the #PDM public meetings is unprecedented,” the Maulana said while speaking to reporters soon… https://t.co/jGOqsVaznC",neutral,,
Andrea Rose,Pakistan Demo­cratic Movement (#PDM) president Maulana Fazlur Rehman has said the people across the country and the… https://t.co/jnrJ5AYyOg,neutral,,
Nav33D,BJP to join PDM in this rigging against @ICC #PDM #iccPoll #imrankhanPTI https://t.co/RkkA2H1Jtk,sarcastic,,
Umair Zafar ????,#PDM invites #viratkholi &amp; #BJP to join their upcoming sit-in against #ImranKhan in #Islamabad to record their stro… https://t.co/4kWt8YXtcW,sarcastic,,
Zainab Farooqi,"If Imran Khan sides doesn’t implement FATF, February will mark Pakistan’s blacklisting. If he acts, he will have to… https://t.co/3js1NfiVBx",neutral,,
Khateeb Ahmed,All preparations for the #PDM public jalsa in Loralai have been completed. The jalsa will be held today. Maulana Fa… https://t.co/jJ3v5UunnB,neutral,,
Abdul Hadi,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Karim Hunzai ????????,Corrupt political family parties and it's rented workers will not question these big issues distroyed our billion d… https://t.co/ZuA5Qjff7s,angry,,
Ali SaDam,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Chair…",neutral,,
Ali SaDam,"RT @TeamLalaMuradKh: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Cha…",neutral,,
PAKISTAN ZINDABAD,"RT @badlaygaapakis2: Our country is being pushed towards Martial Law by criticising the democratic institutes, there should be a strict act…",angry,,
Meer S.Jatoi PSF????????,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Chair…",neutral,,
????? ????,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Gm RaJpAr { PSF } ????????,"RT @LalaMuradKhan: Today, Met President PPP Sindh Nisar Ahmed Khuhro Sb at his residence in Karachi. PSF being the frontline force of Chair…",neutral,,
Badlay Ga Pakistan,"Our country is being pushed towards Martial Law by criticising the democratic institutes, there should be a strict… https://t.co/FWrAiBdC3J",angry,,
N?S ?????IVF?????,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Shiraz Ali_IVF,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
?????? ????? ?????,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Ali Farhan,"Bilawal Bhutto apparently invited for President-Elect Joe Biden inaugural ceremony is no surprise.
Remember it was… https://t.co/uBxbRj5nid",neutral,,
Sadaqat jhedu IVF,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
usman ghani,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Shahzad Haider,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
MASK,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
???IVF,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Archive Pakistan,"Maulana Fazal ur Rehman wants Papa John's Pizza with Tea
https://t.co/esfVm0PU5J

#FazalurRehman 
#PDMRallyMalakand 
#PDM 
#PapaJohnPizza",sarcastic,,
M Tahir Saeed,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
?????? (?????),"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Muhammad Aslam ????,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
GhazalaBaji,"RT @nomii646: If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
????? ????,"If #PDM comes to Rawalpindi, we'll offer them tea: @OfficialDGISPR 

#???????_?????_??????_????? https://t.co/lvaH0L9mHo",sarcastic,,
Shahid Bashir,"RT @janashah_1: #PDM leader Maulana Fazlur Rehman exchanges view with Abdullah Gul the son of legendry Gen Hamid Gul,
on political situatio…",neutral,,
Humza Awan,"RT @mmnewsdottv: Article by:@SrasheedSalman

The state needs to act regarding PDM hate speech before violence erupts in the streets of this…",disagree,,
ASAD USMANI,nawaz corrupt convict traitor LAUNDERER RANAWAY RAT LOOTED PUNJAB PUBLIC RETURN MONEY OR AUCTION ALL ASSETS… https://t.co/kVl1Iql2SU,disagree,,
Toot Batoot,"@ICC #MaryamNawaz requesting all #PDM &amp; #PMLN supporters to vote #ViratKohli, 
#persconferentie 
#Pakistan… https://t.co/i1ahOfVxqs",sarcastic,,
N Ahmed,"If #PDM comes to Rawalpindi, we'll offer them tea: DG ISPR - https://t.co/1CQo6tKnJe https://t.co/jUMlGCtYYj",sarcastic,,
Muhammad Aslam ????,"RT @Muhamma62820833: The PDM is going to found for NRO outside the Election Commission
#PakistanRejectsPDM https://t.co/pfJmght9N6",disagree,,
Tanveer Awan,RT @Navy_Maurya: #PakistanRejectsPDM and entrust @ImranKhanPTI led government. https://t.co/MitkWRfeMP,disagree,,
Johnybravo,"RT @LiaquatIVF: Pakistan is moving forward under Imran Khan's regime.
1.Textile sector running at its full capacity after 30 years
2.Pakist…",neutral,,
Nature Lover,"RT @MBilalLakhani: While media keeps reading tea leaves on what PDM leaders are thinking, the real question is why did ???? people reject PDM…",neutral,,
Saeed Uz Zaman Siddeqi,"Is any road blocked in Islamabad due to PDM protest in front of Election Commission of Pakistan? 
Is local transpor… https://t.co/MLhfn4rnI6",neutral,,
Ani khan,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
Tanveer Awan,"RT @U_3322: Imran Khan became the Prime Minister by the power of vote. No power in the world can remove it without any reason.
#PakistanRe…",disagree,,
H Âlî T?ÑH?,RT @Navy_Maurya: #PakistanRejectsPDM and entrust @ImranKhanPTI led government. https://t.co/MitkWRfeMP,disagree,,
H Âlî T?ÑH?,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small p…",disagree,,
H Âlî T?ÑH?,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
??? ??? ????????,"Pakistani politicians when NAB starts closing in on them...?? https://t.co/EM9UlzW5H4
#PakistanRejectsPDM",sarcastic,,
????? ??? ?????,"RT @Fazalkharoti: I Reject PDM From Quetta

#PakistanRejectsPDM",disagree,,
Atta Ur Rehman,"RT @hansbadvi: I Reject PDM From Karachi

#PakistanRejectsPDM",disagree,,
Waqas Hameed,"RT @nomii646: #PakistanRejectsPDM 
PDM'S demands are part of international conspiracy against Imran khan. https://t.co/igOATrLjcC",disagree,,
Atta Ur Rehman,"RT @U_3322: Imran Khan became the Prime Minister by the power of vote. No power in the world can remove it without any reason.
#PakistanRe…",disagree,,
Nadeem Iqbal Bhatti,"When 10 parties, ruling frm last 4 decades, went all-out against a party, determined to digout the roots of corrupt… https://t.co/xUqWgXBkJq",disagree,,
Atta Ur Rehman,RT @Navy_Maurya: #PakistanRejectsPDM and entrust @ImranKhanPTI led government. https://t.co/MitkWRfeMP,disagree,,
Atta Ur Rehman,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
H Âlî T?ÑH?,RT @ErummKhan: Not only Pakistan ... Parties in PDM also rejects each other #PakistanRejectsPDM,disagree,,
LovePakistan??????,How long can people be fooled by their lies and forgery? #PakistanRejectsPDM,disagree,,
Abdul Razzaq,RT @ErummKhan: Not only Pakistan ... Parties in PDM also rejects each other #PakistanRejectsPDM,disagree,,
V,"RT @AliRazaTweets: #PakistanRejectsPDM

Fazal-ur-Rehman wants to become MNA
Nawaz Sharif wants his re-entry in politics
Asif Zardari wants…",disagree,,
Shahzad AwaRapan,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
????? ??? ?????,"RT @shiraznaqvi_ivf: PDM died by himself

#PakistanRejectsPDM https://t.co/XIQ3pL6cCe",disagree,,
Fan Of Imran Khan?,"I Rejects PDM from Karachi 

#PakistanRejectsPDM",disagree,,
V,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
Anwar,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
Raja Gidh™ PTI,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small p…",disagree,,
Proud Muradian,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
????? ??? ?????,"RT @saifurrehman_m: #PakistanRejectsPDM

Pirates and Daku Movement is failed. Failed.",disagree,,
????? ??? ?????,"RT @lTanha1: My name is Ali
I Reject PDM From Karachi

#PakistanRejectsPDM",disagree,,
IVF?M U N E E B ????????,RT @UmarHay29735756: I Reject PDM from UAE. #PakistanRejectsPDM,disagree,,
????? ??? ?????,RT @ErummKhan: Not only Pakistan ... Parties in PDM also rejects each other #PakistanRejectsPDM,disagree,,
IVF?M U N E E B ????????,"RT @nomii646: @fawadchaudhry appreciates WhatsApp decision to delay of new privacy policy

#PakistanRejectsPDM https://t.co/IgD9cjuRiR",disagree,,
????? ??? ?????,"PDM died by himself

#PakistanRejectsPDM https://t.co/XIQ3pL6cCe",disagree,,
???? ????,"RT @PTIOfficialRWP: Nawaz Shareef tried to leak the secrets of Pakistan in his online speech. 
He tried to show that Pak Army is not good D…",disagree,,
Proud Muradian,"RT @zartajgulwazir: The scattered Opposition parties have totally lost the plot. Their circus show reeks of hypocrisy.

Meaningless small p…",disagree,,
MajorGeneralISPR,"RT @MNM197: #PakistanRejectsPDM

I, Naeem Mughal from UK, reject PDM",disagree,,
????? ??? ?????,"RT @sibghahassan: UKRAINE VS RUSSIA MILITARY POWER COMPARISON | MILITARY STATS https://t.co/1FnG5XSHEx via 
@YouTube

#PakistanRejectsPDM…",disagree,,
Dr Naeem Mughal,"#PakistanRejectsPDM

I, Naeem Mughal from UK, reject PDM https://t.co/Psk862Hnvf",disagree,,
zafar,"RT @PTIOfficialRWP: Nawaz Shareef tried to leak the secrets of Pakistan in his online speech. 
He tried to show that Pak Army is not good D…",disagree,,
????? ??? ?????,"RT @shiraznaqvi_ivf: Im shiraz bukhari completely reject corrupt PDM
Any one who agree with me 
Should Retweet
#PakistanRejectsPDM https:…",disagree,,
????? ??? ?????,RT @RaiShehzadJani1: Imran Khan became the Prime Minister by the power of the vote. No power in the world can remove it without any reason…,disagree,,
Shahzad AwaRapan,"RT @KJJQASIM: Please please share this video 
#PakistanRejectsPDM https://t.co/glrbLJTH8G",disagree,,
????? ??? ?????,RT @fahadawan22: I reject PDM from Haripur #PakistanRejectsPDM,disagree,,
????? ??? ?????,"RT @nomii646: #PakistanRejectsPDM
Prof. Rizvi also noted that the #PDM has never been clear about its agenda.
“Earlier they attacked #Army…",disagree,,
Sana Bajwa,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
IVF?M U N E E B ????????,"RT @nomii646: #PakistanRejectsPDM
The main opposition parties #PPP and #PMLN had no answer about their own foreign funding and were, theref…",disagree,,
????? ??? ?????,"RT @qandeelaslam: This is what these rascals were trying to do, even involved #Israel in it... these are all shit people #PakistanRejectsP…",disagree,,
Awais zaidi,RT @PTIofficial: PDM was an unnatural alliance now meeting its fate as it had no public interest as its goal. It was a “Papa Bachao” campai…,disagree,,
????? ??? ?????,"RT @GillaniAwais: First they abuse them &amp; now they r seeking for their support

#PakistanRejectsPDM",disagree,,
????? ??? ?????,"RT @NumanNumi1994: #PDM wanted to resign @ImranKhanPTI also #PTIGovernment and go home....?
#PTIForeignFunding #PakistanRejectsPDM",disagree,,
P2bP,"RT @Shiraznaqvi111: *#PakistanRejectsPDM*
@Hum_IVF
Maryam Nawaz is most happy on the arrest of Shahbaz Sharif and Meem League is now openly…",disagree,,
????? ??? ?????,"RT @PTITankOfficial: PDM tried to put pressure on government by creating chaos but they didn't know Khan well.

Khan clearly said no to NRO…",disagree,,
Muhammd.Ali,RT @RaiShehzadJani1: Imran Khan became the Prime Minister by the power of the vote. No power in the world can remove it without any reason…,disagree,,
????? ?????,"RT @U_3322: Imran Khan became the Prime Minister by the power of vote. No power in the world can remove it without any reason.
#PakistanRe…",disagree,,
????? ??? ?????,"RT @Rashidsafi: All major access road to #Islamabad are open for #PDM including #expressway ,#srinagarhighway and #murrehighway #Pakistan…",neutral,,
????? ??? ?????,"RT @farahhasan19: #PakistanRejectsPDM https://t.co/c19eggw7uV plz subscribe and Share this video link with friends on WhatsApp , instagram…",disagree,,
????? ??? ?????,"RT @mueez2014: #PakistanRejectsPDM

I, Mueez Ahmad from Faisalabad, reject PDM",disagree,,
????? ??? ?????,"RT @Ahmad_sayss: #MaryamNawaz wants to go to #England 
#PakistanRejectsPDM",sarcastic,,
Muhammd.Ali,"RT @U_3322: Imran Khan became the Prime Minister by the power of vote. No power in the world can remove it without any reason.
#PakistanRe…",disagree,,
????? ??? ?????,"RT @PTITankOfficial: While media keeps reading tea leaves on what PDM leaders are thinking, the real question is why did ???? people reject P…",neutral,,
????? ??? ?????,"RT @saifurrehman_m: #PakistanRejectsPDM 
Pakistan Daku Movement is failed.",disagree,,
??????????????????????????????,"RT @1__Usama: #PakistanRejectsPDM

Prime Minister Imran Khan has been striving hard to uplift weaker segment of the society, while the oppo…",disagree,,
????? ??? ?????,"RT @TAAKVIEM: These parties are fully corrupted,
They have exposed badly,
Every pakistani &amp; world also knows about their fraud. that's why…",disagree,,
????? ??? ?????,"RT @NaseemKWazir592: I am Muhammad Naseem Khan Wazir, a common Pakistani and I strongly reject PDM 
#PakistanRejectsPDM",disagree,,
